
student_id,study_hours,sleep_hours,breaks,time_of_study,productivity
1,4.9,5.9,3,Afternoon,64
2,4.6,6.8,1,Morning,64
3,4.8,4.3,1,Night,33
4,4.2,6.5,2,Afternoon,63
5,4.6,9.3,3,Morning,93
6,2.1,7.5,2,Afternoon,75
7,6.1,7.1,3,Morning,91
8,3.0,7.8,2,Morning,73
9,2.8,7.1,1,Afternoon,68
10,3.2,7.6,2,Morning,63
11,4.6,7.2,1,Afternoon,69
12,4.8,7.2,3,Morning,87
13,5.2,6.9,1,Evening,46
14,3.1,8.3,3,Morning,73
15,2.5,7.2,3,Afternoon,71
16,6.9,5.7,2,Evening,60
17,4.5,7.1,1,Morning,74
18,6.7,6.7,1,Afternoon,72
19,3.7,8.5,1,Morning,78
20,5.1,7.2,2,Morning,80
21,3.5,4.0,0,Night,19
22,5.5,7.3,1,Morning,73
23,3.0,7.6,2,Morning,72
24,4.0,7.3,1,Morning,76
25,4.5,6.8,2,Afternoon,75
26,4.1,8.2,3,Morning,87
27,4.5,7.4,2,Morning,57
28,3.6,8.0,3,Afternoon,76
29,5.6,7.4,2,Morning,84
30,3.7,9.0,2,Morning,93
31,6.1,5.9,2,Evening,64
32,4.6,7.9,1,Morning,58
33,5.9,5.5,2,Evening,51
34,5.3,6.8,0,Evening,65
35,5.0,7.7,1,Morning,85
36,3.6,3.7,0,Night,32
37,6.1,6.5,2,Evening,65
38,2.5,4.6,1,Night,21
39,5.9,5.2,0,Evening,46
40,5.5,7.2,3,Morning,76
41,5.2,5.5,2,Evening,42
42,4.5,7.4,3,Afternoon,77
43,2.9,7.8,3,Afternoon,62
44,3.6,6.3,1,Evening,55
45,5.1,4.6,0,Night,31
46,4.9,7.1,3,Afternoon,73
47,3.4,7.1,3,Morning,78
48,4.9,3.6,1,Night,42
49,5.6,6.7,3,Morning,87
50,6.4,6.3,2,Evening,68
51,4.7,7.9,1,Morning,72
52,3.0,7.6,2,Morning,80
53,6.0,6.0,1,Evening,55
54,6.5,6.9,1,Morning,60
55,4.9,4.4,1,Night,29
56,5.8,8.3,1,Morning,83
57,5.0,6.5,2,Afternoon,83
58,5.0,6.9,1,Evening,61
59,2.2,6.6,2,Morning,62
60,3.7,8.7,2,Morning,78
61,6.4,7.7,3,Morning,99
62,3.0,7.2,2,Morning,75
63,6.1,7.3,2,Morning,86
64,6.3,7.9,2,Morning,80
65,5.2,5.9,2,Evening,80
66,5.7,6.4,1,Evening,57
67,4.3,8.0,2,Morning,72
68,4.7,5.0,0,Night,42
69,4.3,4.3,1,Night,44
70,4.2,6.8,2,Morning,59
71,5.4,7.1,0,Evening,51
72,4.9,8.1,1,Morning,84
73,4.3,6.0,2,Evening,66
74,6.7,5.9,1,Evening,55
75,4.1,7.8,3,Morning,83
76,2.7,6.8,0,Evening,46
77,4.8,6.5,1,Afternoon,57
78,5.7,6.8,3,Afternoon,71
79,5.1,6.4,1,Evening,56
80,4.8,7.1,1,Morning,80
81,2.7,7.2,1,Afternoon,72
82,2.9,4.3,0,Night,24
83,5.5,6.0,3,Afternoon,67
84,3.5,6.8,1,Morning,68
85,5.7,5.6,1,Night,41
86,3.9,7.8,2,Morning,82
87,4.6,4.8,0,Night,33
88,4.1,5.8,1,Night,34
89,3.6,7.2,3,Morning,95
90,4.4,6.2,1,Afternoon,68
91,2.8,7.4,2,Morning,68
92,4.1,6.1,3,Afternoon,52
93,3.8,7.6,1,Afternoon,66
94,4.7,7.3,1,Afternoon,76
95,3.7,8.3,3,Morning,87
96,4.4,5.9,3,Afternoon,74
97,6.1,7.7,1,Morning,80
98,4.6,6.3,1,Evening,40
99,3.5,6.9,1,Morning,78
100,4.9,8.0,2,Afternoon,69
101,5.6,6.4,1,Afternoon,80
102,2.5,6.6,0,Night,36
103,6.0,7.3,3,Afternoon,72
104,5.3,7.3,2,Morning,64
105,4.0,7.0,1,Afternoon,76
106,5.7,6.9,1,Afternoon,69
107,4.8,7.4,0,Evening,55
108,1.0,3.1,0,Night,14
109,2.0,7.2,3,Afternoon,70
110,4.9,6.8,3,Morning,76
111,4.9,6.9,3,Afternoon,64
112,4.1,7.1,2,Morning,67
113,2.8,4.4,0,Night,20
114,5.3,5.0,0,Night,30
115,4.9,6.8,2,Afternoon,74
116,4.2,6.2,3,Afternoon,66
117,4.5,7.9,2,Morning,78
118,4.9,7.5,2,Afternoon,68
119,4.7,5.6,1,Afternoon,70
120,3.9,7.1,2,Evening,59
